,ticker,timestamp,open_price,highest_price,lowest_price,close_price,volume,d_close_price,day_range
187,AAPL,1735655400,252.44000244140625,253.27999877929688,249.42999267578125,249.8173828125,39480700,,3.850006103515625
186,AAPL,1735828200,248.92999267578125,249.10000610351562,241.82000732421875,243.26319885253906,55740700,-6.5541839599609375,7.279998779296875
185,AAPL,1735914600,243.36000061035156,244.17999267578125,241.88999938964844,242.7743682861328,40244100,-0.48883056640625,2.2899932861328125
184,AAPL,1736173800,244.30999755859375,247.3300018310547,243.1999969482422,244.41041564941406,45045600,1.63604736328125,4.1300048828125
183,AAPL,1736260200,242.97999572753906,245.5500030517578,241.35000610351562,241.62713623046875,40856000,-2.7832794189453125,4.1999969482421875
182,AAPL,1736346600,241.9199981689453,243.7100067138672,240.0500030517578,242.11593627929688,37628900,0.488800048828125,3.660003662109375
181,AAPL,1736519400,240.00999450683594,240.16000366210938,233.0,236.280029296875,61710900,-5.835906982421875,7.160003662109375
180,AAPL,1736778600,233.52999877929688,234.6699981689453,229.72000122070312,233.83592224121094,49630700,-2.4441070556640625,4.9499969482421875
179,AAPL,1736865000,234.75,236.1199951171875,232.47000122070312,232.71861267089844,39435300,-1.1173095703125,3.649993896484375
178,AAPL,1736951400,234.63999938964844,238.9600067138672,234.42999267578125,237.2975616455078,39832000,4.578948974609375,4.5300140380859375
177,AAPL,1737037800,237.35000610351562,238.00999450683594,228.02999877929688,227.710693359375,71759100,-9.586868286132812,9.979995727539062
176,AAPL,1737124200,232.1199951171875,232.2899932861328,228.47999572753906,229.4265594482422,68488300,1.7158660888671875,3.80999755859375
175,AAPL,1737469800,224.0,224.4199981689453,219.3800048828125,222.10421752929688,98070400,-7.3223419189453125,5.0399932861328125
174,AAPL,1737556200,219.7899932861328,224.1199951171875,219.7899932861328,223.29135131835938,64126500,1.1871337890625,4.3300018310546875
173,AAPL,1737642600,224.74000549316406,227.02999877929688,222.3000030517578,223.1217803955078,60234800,-0.1695709228515625,4.7299957275390625
172,AAPL,1737729000,224.77999877929688,225.6300048828125,221.41000366210938,222.24388122558594,54697900,-0.877899169921875,4.220001220703125
171,AAPL,1737988200,224.02000427246094,232.14999389648438,223.97999572753906,229.3068389892578,94863400,7.062957763671875,8.169998168945312
170,AAPL,1738074600,230.85000610351562,240.19000244140625,230.80999755859375,237.68663024902344,75707600,8.379791259765625,9.3800048828125
169,AAPL,1738161000,234.1199951171875,239.86000061035156,234.00999450683594,238.78399658203125,45486100,1.0973663330078125,5.850006103515625
168,AAPL,1738247400,238.6699981689453,240.7899932861328,237.2100067138672,237.0182342529297,55658300,-1.7657623291015625,3.579986572265625
167,AAPL,1738333800,247.19000244140625,247.19000244140625,233.44000244140625,235.4320831298828,101075100,-1.586151123046875,13.75
166,AAPL,1738593000,229.99000549316406,231.8300018310547,225.6999969482422,227.4613037109375,73063300,-7.9707794189453125,6.1300048828125
165,AAPL,1738679400,227.25,233.1300048828125,226.64999389648438,232.23977661132812,45067300,4.778472900390625,6.480010986328125
164,AAPL,1738765800,228.52999877929688,232.6699981689453,228.27000427246094,231.9105682373047,39620300,-0.3292083740234375,4.399993896484375
163,AAPL,1738852200,231.2899932861328,233.8000030517578,230.42999267578125,232.6587677001953,29925300,0.748199462890625,3.3700103759765625
162,AAPL,1738938600,232.60000610351562,234.0,227.25999450683594,227.08221435546875,39707200,-5.5765533447265625,6.7400054931640625
161,AAPL,1739197800,229.57000732421875,230.58999633789062,227.1999969482422,227.3518524169922,33115600,0.2696380615234375,3.3899993896484375
160,AAPL,1739284200,228.1999969482422,235.22999572753906,228.1300048828125,232.3153533935547,53718400,4.9635009765625,7.0999908447265625
159,AAPL,1739370600,231.1999969482422,236.9600067138672,230.67999267578125,236.55978393554688,45243300,4.2444305419921875,6.2800140380859375
158,AAPL,1739457000,236.91000366210938,242.33999633789062,235.57000732421875,241.21368408203125,53614100,4.653900146484375,6.769989013671875
157,AAPL,1739543400,241.25,245.5500030517578,240.99000549316406,244.2796630859375,40896200,3.06597900390625,4.55999755859375
156,AAPL,1739889000,244.14999389648438,245.17999267578125,241.83999633789062,244.14984130859375,48822500,-0.12982177734375,3.339996337890625
155,AAPL,1739975400,244.66000366210938,246.00999450683594,243.16000366210938,244.54930114746094,32204200,0.3994598388671875,2.8499908447265625
154,AAPL,1740061800,244.94000244140625,246.77999877929688,244.2899932861328,245.508056640625,32316900,0.9587554931640625,2.4900054931640625
153,AAPL,1740148200,245.9499969482422,248.69000244140625,245.22000122070312,245.22842407226562,53197400,-0.279632568359375,3.470001220703125
152,AAPL,1740407400,244.92999267578125,248.86000061035156,244.4199981689453,246.77639770507812,51326400,1.5479736328125,4.44000244140625
151,AAPL,1740493800,248.0,250.0,244.91000366210938,246.71646118164062,48013300,-0.0599365234375,5.089996337890625
150,AAPL,1740580200,244.3300018310547,244.97999572753906,239.1300048828125,240.0452117919922,44433600,-6.6712493896484375,5.8499908447265625
149,AAPL,1740666600,239.41000366210938,242.4600067138672,237.05999755859375,236.98922729492188,41153600,-3.0559844970703125,5.4000091552734375
148,AAPL,1740753000,236.9499969482422,242.08999633789062,230.1999969482422,241.5232696533203,56833400,4.5340423583984375,11.889999389648438
147,AAPL,1741012200,241.7899932861328,244.02999877929688,236.11000061035156,237.71826171875,47184000,-3.8050079345703125,7.9199981689453125
146,AAPL,1741098600,237.7100067138672,240.07000732421875,234.67999267578125,235.6210174560547,53798100,-2.0972442626953125,5.3900146484375
145,AAPL,1741185000,235.4199981689453,236.5500030517578,229.22999572753906,235.4312744140625,47227600,-0.1897430419921875,7.32000732421875
144,AAPL,1741271400,234.44000244140625,237.86000061035156,233.16000366210938,235.0218048095703,45170400,-0.4094696044921875,4.6999969482421875
143,AAPL,1741357800,235.11000061035156,241.3699951171875,234.75999450683594,238.7569122314453,46273600,3.735107421875,6.6100006103515625
142,AAPL,1741613400,235.5399932861328,236.16000366210938,224.22000122070312,227.1820831298828,72071200,-11.5748291015625,11.94000244140625
141,AAPL,1741699800,223.80999755859375,225.83999633789062,217.4499969482422,220.55078125,76137400,-6.6313018798828125,8.389999389648438
140,AAPL,1741786200,220.13999938964844,221.75,214.91000366210938,216.69583129882812,62547500,-3.854949951171875,6.839996337890625
139,AAPL,1741872600,215.9499969482422,216.83999633789062,208.4199981689453,209.4053955078125,61368300,-7.290435791015625,8.419998168945312
138,AAPL,1741959000,211.25,213.9499969482422,209.5800018310547,213.21041870117188,60107600,3.805023193359375,4.3699951171875
137,AAPL,1742218200,213.30999755859375,215.22000122070312,209.97000122070312,213.71974182128906,48073400,0.5093231201171875,5.25
