,ticker,timestamp,open_price,highest_price,lowest_price,close_price,MACD,signal,AO,AC,histogram
0,TRUMPUSDT,2025-01-18,24.2,34.766,18.0,28.429,0.0,0.0,,,0.0
1,TRUMPUSDT,2025-01-19,28.429,83.041,24.226,46.658,1.4541652421652422,0.29083304843304847,,,1.1633321937321939
2,TRUMPUSDT,2025-01-20,46.658,64.0,34.505,36.553,1.7707999448056455,0.5868264277075679,,,1.1839735170980776
3,TRUMPUSDT,2025-01-21,36.553,48.438,30.185,43.771,2.574490381976265,0.9843592185613073,,,1.5901311634149575
4,TRUMPUSDT,2025-01-22,43.771,44.583,36.04,36.884,2.6254331417882746,1.3125740032067008,,,1.3128591385815738
5,TRUMPUSDT,2025-01-23,36.884,39.643,34.078,34.691,2.460485923500947,1.5421563872655502,,,0.9183295362353969
6,TRUMPUSDT,2025-01-24,34.691,35.456,29.105,30.194,1.9444790040621491,1.6226209106248701,,,0.321858093437279
7,TRUMPUSDT,2025-01-25,30.194,30.654,25.687,28.87,1.4124225400680857,1.5805812365135132,,,-0.16815869644542758
8,TRUMPUSDT,2025-01-26,28.87,32.325,27.05,27.39,0.8614105236617,1.4367470939431506,,,-0.5753365702814506
9,TRUMPUSDT,2025-01-27,27.39,28.259,24.57,28.007,0.46910868147821816,1.2432194114501642,,,-0.7741107299719461
10,TRUMPUSDT,2025-01-28,28.007,30.469,26.19,27.323,0.10183961787032558,1.0149434527341965,,,-0.9131038348638709
11,TRUMPUSDT,2025-01-29,27.323,28.735,26.272,27.241,-0.19360867547341343,0.7732330270926746,,,-0.966841702566088
12,TRUMPUSDT,2025-01-30,27.241,28.3,25.75,26.062,-0.5169301739567018,0.5152003868827993,,,-1.032130560839501
13,TRUMPUSDT,2025-01-31,26.062,26.64,23.6,24.13,-0.9184734542617647,0.22846561865388654,,,-1.1469390729156512
14,TRUMPUSDT,2025-02-01,24.13,25.033,18.525,19.678,-1.57775125559181,-0.1327777561952528,,,-1.4449734993965573
15,TRUMPUSDT,2025-02-02,19.678,22.68,19.369,21.005,-1.9704418263707133,-0.500310570230345,,,-1.4701312561403683
16,TRUMPUSDT,2025-02-03,21.005,21.219,15.663,19.652,-2.363581825398395,-0.872964821263955,,,-1.4906170041344398
17,TRUMPUSDT,2025-02-04,19.652,19.786,16.301,17.178,-2.8420182140907535,-1.2667754998293148,,,-1.5752427142614387
18,TRUMPUSDT,2025-02-05,17.178,20.716,17.177,18.15,-3.1069354050709173,-1.6348074808776354,,,-1.4721279241932819
19,TRUMPUSDT,2025-02-06,18.15,19.523,16.792,17.075,-3.36483992330243,-1.9808139693625946,,,-1.3840259539398354
20,TRUMPUSDT,2025-02-07,17.075,18.249,16.142,16.567,-3.5690803301983145,-2.298467241529739,,,-1.2706130886685756
21,TRUMPUSDT,2025-02-08,16.567,17.482,16.18,17.232,-3.6353760298438296,-2.565848999192557,,,-1.0695270306512725
22,TRUMPUSDT,2025-02-09,17.232,17.951,15.281,15.864,-3.7550165235279884,-2.803682504059643,,,-0.9513340194683453
23,TRUMPUSDT,2025-02-10,15.864,16.557,14.237,15.897,-3.8033272633258015,-3.003611455912875,,,-0.7997158074129267
24,TRUMPUSDT,2025-02-11,15.897,16.798,15.207,15.347,-3.841709441078212,-3.1712310529459424,,,-0.6704783881322696
25,TRUMPUSDT,2025-02-12,15.347,15.615,14.45,15.443,-3.820342663635479,-3.3010533750838498,,,-0.5192892885516294
26,TRUMPUSDT,2025-02-13,15.443,18.0,15.287,16.29,-3.69249869083977,-3.379342438235034,,,-0.313156252604736
27,TRUMPUSDT,2025-02-14,16.29,24.578,15.818,21.57,-3.1290596957338472,-3.3292858897347966,,,0.20022619400094932
28,TRUMPUSDT,2025-02-15,21.57,22.397,18.081,18.664,-2.883777751468706,-3.2401842620815784,,,0.3564065106128722
29,TRUMPUSDT,2025-02-16,18.664,19.622,18.214,18.737,-2.652918362070448,-3.1227310820793526,,,0.4698127200089046
30,TRUMPUSDT,2025-02-17,18.737,19.344,16.821,17.175,-2.566416921806052,-3.0114682500246928,,,0.4450513282186406
31,TRUMPUSDT,2025-02-18,17.175,17.423,15.6,16.373,-2.533375429612512,-2.915849685942257,,,0.38247425632974474
32,TRUMPUSDT,2025-02-19,16.373,17.42,16.045,17.015,-2.427404170149053,-2.8181605827836167,,,0.3907564126345635
33,TRUMPUSDT,2025-02-20,17.015,17.46,16.568,17.081,-2.3114505717643006,-2.716818580579754,-6.903858823529408,,0.40536800881545343
34,TRUMPUSDT,2025-02-21,17.081,17.378,15.553,15.894,-2.288951877055286,-2.6312452398748603,-7.102667647058823,,0.3422933628195741
35,TRUMPUSDT,2025-02-22,15.894,16.784,15.729,16.515,-2.195701311376652,-2.5441364541752187,-6.368544117647062,,0.3484351427985666
36,TRUMPUSDT,2025-02-23,16.515,16.6,15.806,16.125,-2.12873062531645,-2.461055288403465,-5.458199999999998,,0.3323246630870149
37,TRUMPUSDT,2025-02-24,16.125,16.318,12.1,12.938,-2.306235294354,-2.4300912895935722,-5.224591176470586,0.9869811764705894,0.12385599523957236
38,TRUMPUSDT,2025-02-25,12.938,13.649,12.302,13.251,-2.3940553593338,-2.4228841035416178,-5.22829117647059,0.6481676470588216,0.02882874420781789
39,TRUMPUSDT,2025-02-26,13.251,13.345,12.378,13.289,-2.432546232359753,-2.424816529305245,-5.24323823529412,0.2613347058823514,-0.0077297030545082634
40,TRUMPUSDT,2025-02-27,13.289,13.644,12.281,12.59,-2.490742258435816,-2.438001675131359,-5.3338617647058815,-0.036225294117646634,-0.052740583304456745
41,TRUMPUSDT,2025-02-28,12.59,13.549,11.062,12.963,-2.478197922644288,-2.446040924633945,-5.64674411764706,-0.31139882352941317,-0.032156998010342885
42,TRUMPUSDT,2025-03-01,12.963,14.5,12.672,13.16,-2.424413067848711,-2.4417153532768983,-5.297770588235293,0.052210588235295674,0.017302285428187236
43,TRUMPUSDT,2025-03-02,13.16,17.753,13.119,16.971,-2.0506339016373776,-2.3634990629489945,-4.482773529411769,0.718104117647056,0.3128651613116169
44,TRUMPUSDT,2025-03-03,16.971,17.013,12.367,12.816,-2.0658709206839116,-2.303973434495978,-3.7159117647058846,1.1795005882352925,0.23810251381206626
45,TRUMPUSDT,2025-03-04,12.816,13.174,11.66,12.964,-2.0424597997581593,-2.2516707075484144,-3.3812911764705884,1.1236070588235307,0.20921090779025509
46,TRUMPUSDT,2025-03-05,12.964,13.672,12.654,13.21,-1.98121792667094,-2.1975801513729194,-2.8020852941176493,1.133881176470588,0.2163622247019794
47,TRUMPUSDT,2025-03-06,13.21,13.879,12.842,13.073,-1.9215871950308578,-2.142381560104507,-2.5013176470588228,0.87535823529412,0.22079436507364925
48,TRUMPUSDT,2025-03-07,13.073,13.351,12.173,12.351,-1.9105649728623497,-2.0960182426560756,-2.7709117647058807,0.2633917647058843,0.1854532697937259
49,TRUMPUSDT,2025-03-08,12.351,12.427,11.705,12.022,-1.9064015227546882,-2.0580948986757983,-3.0322264705882347,-0.13465999999999934,0.1516933759211101
50,TRUMPUSDT,2025-03-09,12.022,12.168,10.472,10.709,-1.98615492768168,-2.043706904476975,-3.0421852941176493,-0.21244000000000174,0.057551976795295
51,TRUMPUSDT,2025-03-10,10.709,11.584,10.17,10.295,-2.059031185927255,-2.0467717607670313,-3.2886058823529414,-0.3615564705882357,-0.012259425160223714
52,TRUMPUSDT,2025-03-11,10.295,10.893,9.535,10.5,-2.0763099502401428,-2.0526793986616534,-3.6610676470588253,-0.5020682352941188,-0.023630551578489367
53,TRUMPUSDT,2025-03-12,10.5,10.838,10.032,10.563,-2.0611601507674457,-2.054375549082812,-3.8993352941176465,-0.5146511764705872,-0.006784601684633795
54,TRUMPUSDT,2025-03-13,10.563,12.486,10.264,10.719,-2.0133572007444815,-2.0461718794151458,-3.866344117647058,-0.31483647058823383,0.03281467867066423
55,TRUMPUSDT,2025-03-14,10.719,12.339,10.661,11.874,-1.860823753282105,-2.0091022541885377,-3.6735500000000005,0.004230588235293986,0.1482785009064327
56,TRUMPUSDT,2025-03-15,11.874,12.457,11.814,12.174,-1.696179898395263,-1.9465177830298828,-3.2900705882352934,0.38800294117647116,0.2503378846346198
57,TRUMPUSDT,2025-03-16,12.174,12.19,11.042,11.217,-1.6241976200834038,-1.8820537504405872,-2.898464705882354,0.6270882352941163,0.25785613035718336
58,TRUMPUSDT,2025-03-17,11.217,11.631,11.106,11.409,-1.5339756342825641,-1.8124381272089827,-2.5754705882352944,0.6853094117647052,0.27846249292641856
59,TRUMPUSDT,2025-03-18,11.409,11.414,10.758,11.015,-1.4772378888912208,-1.7453980795454305,-2.5171970588235304,0.4737535294117641,0.2681601906542097
60,TRUMPUSDT,2025-03-19,11.015,11.686,10.89,11.645,-1.3656942092952544,-1.6694573054953952,-2.402082352941177,0.33457470588235294,0.30376309620014075
61,TRUMPUSDT,2025-03-20,11.645,11.777,10.978,11.045,-1.3106022186226856,-1.5976862881208533,-2.2942558823529424,0.24323823529411737,0.2870840694981678
62,TRUMPUSDT,2025-03-21,11.045,11.161,10.636,10.857,-1.2675004912453414,-1.531649128745751,-2.1630352941176465,0.22737294117647178,0.2641486375004096
63,TRUMPUSDT,2025-03-22,10.857,11.216,10.657,10.74,-1.2286202149098706,-1.471043345978575,-2.0146852941176476,0.2635658823529412,0.2424231310687044
64,TRUMPUSDT,2025-03-23,10.74,12.437,10.681,11.511,-1.1226528164714242,-1.401365240077145,-1.7282176470588215,0.39223764705882536,0.2787124236057208
65,TRUMPUSDT,2025-03-24,11.511,12.065,11.364,11.882,-0.9972407200712592,-1.320540336075968,-1.5018294117647066,0.4385752941176464,0.3232996160047088
66,TRUMPUSDT,2025-03-25,11.882,11.882,11.287,11.603,-0.9098752232327101,-1.2384073135073164,-1.3090176470588233,0.4343394117647059,0.3285320902746063
67,TRUMPUSDT,2025-03-26,11.603,12.073,11.205,11.391,-0.8479692046471481,-1.1603196917352827,-1.0028294117647079,0.5084864705882335,0.3123504870881346
68,TRUMPUSDT,2025-03-27,11.391,11.671,11.016,11.103,-0.8127782304886928,-1.0908113994859647,-0.7707823529411755,0.4917529411764714,0.27803316899727193
69,TRUMPUSDT,2025-03-28,11.103,11.222,10.088,10.337,-0.8370499375669542,-1.0400591071021625,-0.7868323529411771,0.287425882352941,0.2030091695352083
70,TRUMPUSDT,2025-03-29,10.337,10.443,9.832,10.071,-0.86774657487822,-1.005596600657374,-0.9238352941176462,0.03482411764705984,0.13785002577915395
